IT0003128367;EPS Diluted;2013;0.34;True;enel
IT0003128367;EPS Diluted;2014;0.05;True;enel
IT0003128367;EPS Diluted;2015;0.23;True;enel
IT0003128367;EPS Diluted;2016;0.26;True;enel
IT0003128367;EPS Diluted;2017;0.37;True;enel
IT0003128367;EPS Diluted;2018;0.47;True;enel
IT0003128367;EPS Diluted;2019;0.21;True;enel
IT0003128367;EPS Basic;2013;0.34;True;enel
IT0003128367;EPS Basic;2014;0.05;True;enel
IT0003128367;EPS Basic;2015;0.23;True;enel
IT0003128367;EPS Basic;2016;0.26;True;enel
IT0003128367;EPS Basic;2017;0.37;True;enel
IT0003128367;EPS Basic;2018;0.47;True;enel
IT0003128367;EPS Basic;2019;0.21;True;enel
IT0003128367;Dividend;2013;0.13;True;enel
IT0003128367;Dividend;2014;0.14;True;enel
IT0003128367;Dividend;2015;0.16;True;enel
IT0003128367;Dividend;2016;0.18;True;enel
IT0003128367;Dividend;2017;0.24;True;enel
IT0003128367;Dividend;2018;0.28;True;enel
IT0003128367;Dividend;2019;0.33;True;enel
