FR0000120404;Accor;accor;AC.PA;Common Stock;Equity
FR0000120073;Air Liquide;air_liquide;AI.PA;Common Stock;Equity
NL0000235190;Airbus;airbus;AIR.PA;Common Stock;Equity
LU1598757687;ArcelorMittal;arcelormittal;MTP.PA;Common Stock;Equity
FR0000051732;Atos;atos;ATO.PA;Common Stock;Equity
FR0000120628;AXA;axa;CS.PA;Common Stock;Equity
FR0000131104;BNP Paribas;bnp_paribas;BNP.PA;Common Stock;Equity
FR0000120503;Bouygues;bouygues;EN.PA;Common Stock;Equity
FR0000125338;Cap Gemini;cap_gemini;CAP.PA;Common Stock;Equity
FR0000120172;Carrefour;carrefour;CA.PA;Common Stock;Equity
FR0000045072;Crédit Agricole;crédit_agricole;ACA.PA;Common Stock;Equity
FR0000120644;Danone;danone;BN.PA;Common Stock;Equity
FR0000130650;Dassault Systèmes;dassault_systemes;DSY.PA;Common Stock;Equity
FR0010208488;Engie (ex GDF Suez;engie;ENGI.PA;Common Stock;Equity
FR0000121667;EssilorLuxottica;essilorluxotica;EL.PA;Common Stock;Equity
FR0000052292;Hermès (Hermes International;hermès;RMS.PA;Common Stock;Equity
FR0000121485;Kering;kering;KER.PA;Common Stock;Equity
FR0010307819;LEGRAND;legrand;LR.PA;Common Stock;Equity
FR0000120321;LOréal;loréal;OR.PA;Common Stock;Equity
FR0000121014;LVMH Moet Hennessy Louis Vuitton;lvmh;MC.PA;Common Stock;Equity
FR0000121261;Michelin (Compagnie Générale d Etablissements Michelin SCPA;michelin;ML.PA;Common Stock;Equity
FR0000133308;Orange;orange;ORA.PA;Common Stock;Equity
FR0000120693;Pernod Ricard;pernod_ricard;RI.PA;Common Stock;Equity
FR0000121501;Peugeot;peugeot;UG.PA;Common Stock;Equity
FR0000130577;Publicis;publicis;PUB.PA;Common Stock;Equity
FR0000131906;Renault;renault;RNO.PA;Common Stock;Equity
FR0000073272;SAFRAN;safran;SAF.PA;Common Stock;Equity
FR0000125007;Saint-Gobain;saint-gobain;SGO.PA;Common Stock;Equity
FR0000120578;Sanofi;sanofi;SAN.PA;Common Stock;Equity
FR0000121972;Schneider Electric;schneider_electric;SU.PA;Common Stock;Equity
FR0000130809;Société Générale (Societe Generale;société_générale;GLE.PA;Common Stock;Equity
FR0000121220;Sodexo;sodexo;SW.PA;Common Stock;Equity
NL0000226223;STMicroelectronics;stmicroelectronics;STM.PA;Common Stock;Equity
FR0000120271;TOTAL;total;FP.PA;Common Stock;Equity
FR0013326246;Unibail-Rodamco;unibail-rodamco;URW.PA;REIT;Equity
FR0000124141;Veolia Environnement;veolia_environnement;VIE.PA;Common Stock;Equity
FR0000125486;VINCI;vinci;DG.PA;Common Stock;Equity
FR0000127771;Vivendi;vivendi;VIV.PA;Common Stock;Equity
FR0011981968;Worldline SA;worldline_sa;WLN.PA;Common Stock;Equity
